companyName,CIN,GSTIN,phone,email,address,startDate,renewalDate,category,directors,description,status
Tech Solutions,UFXT24PBQ1XJZR76OG4V5W,AYDE2Y5VTVO5XU9YK,5292520880,techsolutions626@gmail.com,"74 Sarat Bose Road, Andheri, Ahmedabad, Andhra Pradesh",2024-11-12,2025-10-08,IT services,"27031694, 58274434",Involved in various business activities.,active
International Consulting,USAMADH2Y3IUI5IHQ5CFKT,2KDEIL7T0F0465Y4R,5587443805,internationalconsulting335@gmail.com,"60 Sarat Bose Road, Indiranagar, Mumbai, Uttar Pradesh",2023-02-19,2024-01-15,Media,"22205684, 64294288",Involved in various business activities.,active
Enterprise Services,UA8IIBV1P477KX3U47I4PR,F4DE5A3W0CSXZ0N5Z,3141928367,enterpriseservices833@gmail.com,"91 Main Road, HSR Layout, Delhi, Uttar Pradesh",2023-08-18,2024-07-13,E-commerce,"55954816, 69764189",Involved in various business activities.,vacated
Group Limited,USBO6087EYDZ0Z9XXG58GM,QKDEUCIFETSCJ8U3N,4691572184,grouplimited258@gmail.com,"17 MG Road, Koramangala, Kolkata, Uttar Pradesh",2022-09-05,2023-08-01,E-commerce,"40595773, 84102502",Involved in various business activities.,inactive
Enterprise Group,UDTP3JH8E2J3ICRNKG7KP7,JXDEF89K4FL8Q9GWW,6775544118,enterprisegroup756@gmail.com,"90 Sarat Bose Road, Koramangala, Bangalore, Gujarat",2024-09-26,2025-08-22,Healthcare,"98996099, 27395552",Involved in various business activities.,vacated
International Enterprise,UEFIOCPBKM9YC5K5TWZ33I,WSDEVFWGVBSZCQ3TY,1856555469,internationalenterprise487@gmail.com,"63 Main Road, HSR Layout, Delhi, Madhya Pradesh",2024-06-04,2025-04-30,Education,"32862119, 73994353",Involved in various business activities.,vacated
Global Group,UC5X2GGEVW3EKS6TBYNI32,H9DEB9YKG0EK5L055,8273795293,globalgroup940@gmail.com,"74 Main Road, HSR Layout, Surat, Madhya Pradesh",2022-04-18,2023-03-14,E-commerce,"80185672, 27895942",Involved in various business activities.,vacated
Tech Services,U9CLHISG0FHN71Y7YXAODF,UIDECQ4KAU8ZLXN0E,2478512865,techservices888@gmail.com,"99 MG Road, Bandra, Delhi, Karnataka",2022-12-20,2023-11-15,Media,"75871649, 32066619",Involved in various business activities.,inactive
Global Services,U8JOCGT3U6BF4QUSY1WHXG,VODE7KC8VBFOJY2RP,7756471354,globalservices597@gmail.com,"8 Main Road, Bandra, Chennai, Tamil Nadu",2022-03-27,2023-02-20,Healthcare,"78274678, 64968864",Involved in various business activities.,inactive
Innovative Group,UU74YZ1QD99VGNW6FPD48I,7WDE7LO2SZI16IH0S,8908352251,innovativegroup637@gmail.com,"24 Sarat Bose Road, Indiranagar, Mumbai, Maharashtra",2023-11-24,2024-10-19,IT services,"80130766, 42077455",Involved in various business activities.,vacated
Innovative Solutions,UKEI9HGWH8P2BN1GCX2X98,KODEBHU4L5SUI91BW,2432569306,innovativesolutions286@gmail.com,"63 MG Road, Andheri, Hyderabad, Madhya Pradesh",2024-09-10,2025-08-06,IT services,"94840303, 98929041",Involved in various business activities.,vacated
Tech Limited,UA7FLMHIGAYD8NNYMZLQ4Z,AIDES192WID2AD2ZO,6356775538,techlimited336@gmail.com,"62 Main Road, Bandra, Bangalore, Tamil Nadu",2022-10-16,2023-09-11,Advertising,"89231615, 41381287",Involved in various business activities.,vacated
Smart Limited,UZ3V2SNC25VQB7WYATWNIJ,X0DECILCLFGXI84TW,8647295595,smartlimited363@gmail.com,"21 Park Street, Koramangala, Mumbai, Telangana",2024-04-15,2025-03-11,Finance,"88611726, 21555764",Involved in various business activities.,vacated
Tech Partners,UUH6KU3BHH681BYZ338AEV,8NDEG5YS2RHN66M2Q,3041863954,techpartners347@gmail.com,"43 Park Street, Indiranagar, Delhi, Gujarat",2022-04-03,2023-02-27,Retail,"72405960, 84500978",Involved in various business activities.,vacated
Creative Services,U9UQUS8SYXXXT9SD0QNON0,S4DECSFB5X2HRZ3ZO,4899388936,creativeservices862@gmail.com,"7 Sarat Bose Road, Bandra, Chennai, Uttar Pradesh",2024-08-26,2025-07-22,Finance,"25158951, 70357121",Involved in various business activities.,inactive
Limited Industries,UFLZ9A09WKIS7HEFUD5TLV,SIDEHN1JJ0KXJ3PQG,2948698762,limitedindustries265@gmail.com,"78 Park Street, Indiranagar, Surat, Andhra Pradesh",2022-05-19,2023-04-14,E-commerce,"92735769, 82121073",Involved in various business activities.,inactive
Tech Limited,UGN0J90TAOUHWI6C4CPWW0,XWDE68BN8PKQOYZM2,2051490168,techlimited132@gmail.com,"34 Park Street, Koramangala, Chennai, Maharashtra",2022-07-21,2023-06-16,IT services,"87568242, 63267920",Involved in various business activities.,active
Future Services,UMYEWJNL705J1GMVSMPCTQ,G7DEI9V37HW4XGFGV,4141755634,futureservices172@gmail.com,"82 Park Street, Indiranagar, Jaipur, Karnataka",2023-06-27,2024-05-22,Construction,"22918620, 97745395",Involved in various business activities.,active
Digital Limited,UKSS9C3TPRDWUD24L984DS,5MDE2YP723J110KTD,4808988577,digitallimited901@gmail.com,"3 Tilak Road, Andheri, Jaipur, Bihar",2022-07-12,2023-06-07,Manufacturing,"78517254, 30888512",Involved in various business activities.,inactive
Solutions Industries,UDIX62KQ53480I64Y9QA9O,MIDEFVDIOK8VF1OX3,6889579879,solutionsindustries764@gmail.com,"58 Tilak Road, Koramangala, Pune, West Bengal",2024-02-10,2025-01-05,Advertising,"30279284, 28777724",Involved in various business activities.,active
Future Enterprise,UXAFPIWHZUN2W13ISWMU3A,MIDEMR570GLVDT2SJ,8948858394,futureenterprise501@gmail.com,"11 Main Road, Andheri, Chennai, Uttar Pradesh",2022-12-20,2023-11-15,Media,"38239417, 44535934",Involved in various business activities.,inactive
Group Services,UH2MBDG0FGNIT6V0ATUP25,KWDEX2R9A06KU16LA,2507414374,groupservices978@gmail.com,"96 Sarat Bose Road, Indiranagar, Chennai, Karnataka",2022-07-05,2023-05-31,Healthcare,"23143326, 48507377",Involved in various business activities.,inactive
Group Group,UYN2FXUKEFKYD92V1ZZ4DI,AUDEW1F3G1YB5DCH6,8722351017,groupgroup139@gmail.com,"49 Sarat Bose Road, Bandra, Jaipur, Andhra Pradesh",2024-06-08,2025-05-04,Construction,"72166495, 78486643",Involved in various business activities.,vacated
Solutions Partners,UEYVX3IOQ51V94EZROO3DD,4JDEEPGXAJQI3TPWN,1801932476,solutionspartners641@gmail.com,"94 Sarat Bose Road, Koramangala, Bangalore, West Bengal",2022-04-30,2023-03-26,Construction,"34717462, 29818694",Involved in various business activities.,active
